Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
QC1	Extraction	"acetonitrile:methanol (1:1, v/v)"		QC1	Chromatography	Thermo Scientific Vanquish UHPLC System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000858		"XBridge BEH Amide (1.7 µm, 2.1 mm x 100 mm; Waters)"	HILIC						Mass spectrometry	positive	100-1000	Thermo Q Exactive HFX			electrospray ionization			orbitrap			QC1	FILES/QC01.raw	Data transformation			Metabolite identification		m_MTBLS10856_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
QC2	Extraction	"acetonitrile:methanol (1:1, v/v)"		QC2	Chromatography	Thermo Scientific Vanquish UHPLC System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000858		"XBridge BEH Amide (1.7 µm, 2.1 mm x 100 mm; Waters)"	HILIC						Mass spectrometry	positive	100-1000	Thermo Q Exactive HFX			electrospray ionization			orbitrap			QC2	FILES/QC02.raw	Data transformation			Metabolite identification		m_MTBLS10856_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
QC3	Extraction	"acetonitrile:methanol (1:1, v/v)"		QC3	Chromatography	Thermo Scientific Vanquish UHPLC System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000858		"XBridge BEH Amide (1.7 µm, 2.1 mm x 100 mm; Waters)"	HILIC						Mass spectrometry	positive	100-1000	Thermo Q Exactive HFX			electrospray ionization			orbitrap			QC3	FILES/QC03.raw	Data transformation			Metabolite identification		m_MTBLS10856_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
QC4	Extraction	"acetonitrile:methanol (1:1, v/v)"		QC4	Chromatography	Thermo Scientific Vanquish UHPLC System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000858		"XBridge BEH Amide (1.7 µm, 2.1 mm x 100 mm; Waters)"	HILIC						Mass spectrometry	positive	100-1000	Thermo Q Exactive HFX			electrospray ionization			orbitrap			QC4	FILES/QC04.raw	Data transformation			Metabolite identification		m_MTBLS10856_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
QC5	Extraction	"acetonitrile:methanol (1:1, v/v)"		QC5	Chromatography	Thermo Scientific Vanquish UHPLC System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000858		"XBridge BEH Amide (1.7 µm, 2.1 mm x 100 mm; Waters)"	HILIC						Mass spectrometry	positive	100-1000	Thermo Q Exactive HFX			electrospray ionization			orbitrap			QC5	FILES/QC05.raw	Data transformation			Metabolite identification		m_MTBLS10856_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
YK.RM.1	Extraction	"acetonitrile:methanol (1:1, v/v)"		YK.RM.1	Chromatography	Thermo Scientific Vanquish UHPLC System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000858		"XBridge BEH Amide (1.7 µm, 2.1 mm x 100 mm; Waters)"	HILIC						Mass spectrometry	positive	100-1000	Thermo Q Exactive HFX			electrospray ionization			orbitrap			YK.RM.1	FILES/YK-R-1.raw	Data transformation			Metabolite identification		m_MTBLS10856_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
YK.RM.2	Extraction	"acetonitrile:methanol (1:1, v/v)"		YK.RM.2	Chromatography	Thermo Scientific Vanquish UHPLC System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000858		"XBridge BEH Amide (1.7 µm, 2.1 mm x 100 mm; Waters)"	HILIC						Mass spectrometry	positive	100-1000	Thermo Q Exactive HFX			electrospray ionization			orbitrap			YK.RM.2	FILES/YK-R-2.raw	Data transformation			Metabolite identification		m_MTBLS10856_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
YK.RM.3	Extraction	"acetonitrile:methanol (1:1, v/v)"		YK.RM.3	Chromatography	Thermo Scientific Vanquish UHPLC System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000858		"XBridge BEH Amide (1.7 µm, 2.1 mm x 100 mm; Waters)"	HILIC						Mass spectrometry	positive	100-1000	Thermo Q Exactive HFX			electrospray ionization			orbitrap			YK.RM.3	FILES/YK-R-3.raw	Data transformation			Metabolite identification		m_MTBLS10856_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
YK.RM.4	Extraction	"acetonitrile:methanol (1:1, v/v)"		YK.RM.4	Chromatography	Thermo Scientific Vanquish UHPLC System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000858		"XBridge BEH Amide (1.7 µm, 2.1 mm x 100 mm; Waters)"	HILIC						Mass spectrometry	positive	100-1000	Thermo Q Exactive HFX			electrospray ionization			orbitrap			YK.RM.4	FILES/YK-R-4.raw	Data transformation			Metabolite identification		m_MTBLS10856_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
YK.RM.5	Extraction	"acetonitrile:methanol (1:1, v/v)"		YK.RM.5	Chromatography	Thermo Scientific Vanquish UHPLC System	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000858		"XBridge BEH Amide (1.7 µm, 2.1 mm x 100 mm; Waters)"	HILIC						Mass spectrometry	positive	100-1000	Thermo Q Exactive HFX			electrospray ionization			orbitrap			YK.RM.5	FILES/YK-R-5.raw	Data transformation			Metabolite identification		m_MTBLS10856_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
