database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	YK.RM.1	YK.RM.2	YK.RM.3	YK.RM.4	YK.RM.5	YK.RM.6	YK.RM.7	YK.RM.15	YK.RM.16	YK.RM.17	YK.RM.18	YK.RM.19	YK.RM.20	YK.RM.21	QC1	QC2	QC3	QC4	QC5
				Adenine	136.0621059				141.848			BiotreeDB									8192876.937	11430195.77	28434201.66	24154075.97	23581498.38	6988686.77	12510583.96	14720360.35	9416370.129	19291766.63	21187702.67	2907108.252	20788578.54	50332022.85	17704092.53	20425603.56	19916131.35	19406499	19768410.82
				Piperidine	86.09703036				283.2475			BiotreeDB									439238374	311177078.6	348327000.6	303167817.3	360319673.1	610548254.3	185183396.1	154968181.8	114425680.9	180484178.9	139793775.4	40382513.67	153716654.8	132475527.4	412733125.8	309444089.6	279134741	277655754.4	283405481
				Hypoxanthine	137.0461586				190.8525			BiotreeDB									154511975.3	202648977.4	234858796.1	74784826.38	146002113.8	99171563.83	127701780.7	64411386.35	101060710.7	69380943.75	126567056.9	59585407.47	111971919.8	152146073.3	139739041.8	138815057.6	114573540.4	113772679.4	136798975.1
				Bakkenolide C	349.1992101				81.8224			BiotreeDB									27505652.13	24467816.49	22524075.18	21631995.55	21789400.95	32767883.34	10597186.05	19435528.99	19922186.51	13851027.06	19950254.94	6274234.473	23726021.37	20888829.56	30633539.88	22797625.25	22892298.68	21736227.28	22096389.82
				8-iso-15-keto-PGE2	351.2140025				134.572			BiotreeDB									16504049.98	23052915.52	22405922.41	27685790.87	30331392.18	21352452.02	4597619.488	21655881.48	19595765.98	17748350.05	14526095.07	2810152.096	23192672.22	20388048.35	18930897.73	14662215.85	12083263.93	17608652.1	13655171.38
				Histamine	112.0874045				401.77			BiotreeDB									217166617.3	192810641.9	204055997	111249109	220885898.2	77738234.83	158769938.7	58694412.56	148839099.1	82330908.39	164881887.8	33200795.55	119286878.5	239923264.4	241389853.7	210273821.4	207618191.3	202990998.2	204645415.5
				D-Proline	116.0708965				326.837			BiotreeDB									203483904.5	370707590.3	262639986	89878592.43	405981961.1	70639081.32	252381197.9	101677745.1	273215239.1	90450056.76	309577724.7	101443776	137219507.7	237916827.6	351683481.2	304472202.4	289744058.2	284231799.1	302762969.3
				Trehalose	365.1061099				405.4945			BiotreeDB									1080686.946	513623.1023	2055041.763	1421855.151	1320189.537	357014.7226	383481.0005	230089.3548	639312.4445	870000.3746	521243.6271	495902.8082	291786.0458	5156483.478	6896124.191	6787015.519	6904795.779	7288758.468	6976663.235
				1-Butylamine	74.09699328				59.28685			BiotreeDB									36275294.99	33446098.59	15145990.13	38330183.02	18918911.84	41565728.01	19188021.72	11985075.97	21391506.64	13500475.03	16806081.24	17794017.33	18208304.88	15211341.43	26607427.78	14392984.18	17807827.7	17168255.17	17013440.39
				9alpha-(3-Methylbutanoyloxy)-4S-hydroxy-10(14)-oplopen-3-one	337.2354891				60.17565			BiotreeDB									13888583.53	17145532.47	7253134.561	20162880.23	17536327.3	18784115.52	8915843.577	12518679.83	8584838.462	11435244.18	10138655.43	6215476.334	10389033.3	14050180.59	17130137.05	13762318.16	10834035.51	9587365.872	10722370.66
				2-Hydroxyphenethylamine	138.0915534				241.908			BiotreeDB									6887355.895	2199185.565	25385235.17	1767932.506	4112971.297	2705999.665	532187.7794	3574512.676	1758549.685	3393459.306	2139300.843	388949.4156	2593990.361	4485961.024	10131239.46	11581191	11936223.17	11347072.53	11034813.88
				1H-Pyrrole-2-carboxaldehyde	96.04491286				50.4298			BiotreeDB									10567582.58	1790044.987	9342242.987	3550539.117	3947930.813	3027959.016	2373361.438	3404734.366	1336898.512	1851235.423	2282661.772	1205472.53	1463012.21	1508740.921	4917678.416	4365551.517	3628619.982	3168244.046	3615469.918
				Harman	183.0917563				44.2169			BiotreeDB									1718665.169	605302.4009	1869297.619	1601441.423	2690465.626	6717201.812	437664.1447	759372.0751	203050.8642	413261.2426	398747.0025	246324.6876	244957.1193	319390.735	3742564.212	3303001.871	3059637.295	2885965.401	2732547.188
				1H-Indole-3-carboxaldehyde	146.0601035				60.16			BiotreeDB									7681586.212	32506754.02	8339813.695	8873837.556	9135865.023	8498205.881	3128635.397	16155233.64	11953720.31	517700.7315	15471710.58	5190394.393	12489569.48	14654431.27	9357456.372	10120614.46	9517568.588	8440719.488	9053132.64
				3-Methyladenine	150.077769				252.4105			BiotreeDB									17398252.6	15070028.23	20359601.08	8957924.919	16018674.4	5080901.041	6464963.683	3991816.774	5044219.318	2892674.079	3844955.087	12118322.88	4721592.677	6849391.095	16064544.63	15432754.02	13762590.01	14374943.88	14849250.75
