Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Diet]	Term Source REF	Term Accession Number
QC01.mzXML	Bos grunniens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_30521	ruminal fluid	BTO	http://purl.obolibrary.org/obo/BTO_0004789	Zhongdian			pooled quality control sample			Sample collection	QC1	QC		
QC02.mzXML	Bos grunniens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_30521	ruminal fluid	BTO	http://purl.obolibrary.org/obo/BTO_0004789	Zhongdian			pooled quality control sample			Sample collection	QC2	QC		
QC03.mzXML	Bos grunniens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_30521	ruminal fluid	BTO	http://purl.obolibrary.org/obo/BTO_0004789	Zhongdian			pooled quality control sample			Sample collection	QC3	QC		
QC04.mzXML	Bos grunniens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_30521	ruminal fluid	BTO	http://purl.obolibrary.org/obo/BTO_0004789	Zhongdian			pooled quality control sample			Sample collection	QC4	QC		
QC05.mzXML	Bos grunniens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_30521	ruminal fluid	BTO	http://purl.obolibrary.org/obo/BTO_0004789	Zhongdian			pooled quality control sample			Sample collection	QC5	QC		
YK-R-1.mzXML	Bos grunniens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_30521	ruminal fluid	BTO	http://purl.obolibrary.org/obo/BTO_0004789	Zhongdian			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	YK.RM.1	Grazing		
YK-R-2.mzXML	Bos grunniens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_30521	ruminal fluid	BTO	http://purl.obolibrary.org/obo/BTO_0004789	Zhongdian			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	YK.RM.2	Grazing		
YK-R-3.mzXML	Bos grunniens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_30521	ruminal fluid	BTO	http://purl.obolibrary.org/obo/BTO_0004789	Zhongdian			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	YK.RM.3	Grazing		
YK-R-4.mzXML	Bos grunniens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_30521	ruminal fluid	BTO	http://purl.obolibrary.org/obo/BTO_0004789	Zhongdian			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	YK.RM.4	Grazing		
YK-R-5.mzXML	Bos grunniens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_30521	ruminal fluid	BTO	http://purl.obolibrary.org/obo/BTO_0004789	Zhongdian			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	YK.RM.5	Grazing		
